"","rik","alder","kjonn","tillit","valg","redusere"
"913",5,73,1,4,NA,3
"914",6,29,2,5,3,2
"915",5,34,2,5,NA,4
"916",5,56,1,7,5,2
"917",5,61,1,7,NA,3
"918",5,55,1,5,8,1
"919",6,55,2,3,3,2
"920",5,51,1,5,3,2
"921",4,20,1,5,10,3
"922",5,72,1,5,3,2
"923",5,31,2,6,7,2
"924",5,31,1,8,3,1
"925",5,71,2,8,2,1
"926",5,61,1,4,7,3
"927",6,38,1,5,NA,2
"928",5,58,1,6,3,2
"929",5,59,1,7,NA,2
"930",5,59,1,7,3,2
"931",1,42,1,3,3,2
"932",5,19,2,5,NA,2
"933",5,46,2,8,7,3
"934",3,66,1,6,3,3
"935",5,37,1,3,NA,3
"936",3,41,2,8,NA,2
"937",6,65,1,4,2,1
"938",5,66,1,5,3,2
"939",6,66,2,2,1,1
"940",3,32,1,6,8,3
"941",2,16,1,7,NA,2
"942",5,50,1,1,8,3
"943",4,47,1,6,3,2
"944",5,52,1,5,7,2
"945",5,49,1,0,6,2
"946",3,42,2,6,7,2
"947",6,55,2,5,2,1
"948",6,25,2,3,4,2
"949",1,21,1,6,7,5
"950",6,90,2,2,7,3
"951",6,82,1,2,7,3
"952",5,72,1,8,7,3
"953",5,27,2,6,2,1
"954",5,86,1,5,6,2
"955",4,81,2,6,8,2
"956",5,53,2,5,7,2
"957",5,58,1,5,7,4
"958",5,66,1,7,6,1
"959",3,27,2,5,3,3
"960",5,54,2,4,NA,1
"961",5,72,1,8,8,1
"962",5,79,2,6,8,2
"963",4,57,1,6,3,2
"964",6,56,2,5,7,2
"965",2,72,2,6,NA,3
"966",5,75,2,3,3,1
"967",5,71,1,5,8,2
"968",6,75,1,6,3,1
"969",3,NA,1,6,7,3
"970",5,41,1,3,8,3
"971",6,66,1,2,8,1
"972",3,58,2,2,NA,2
"973",4,80,1,8,7,3
"974",4,65,1,7,5,2
"975",5,78,2,4,3,3
"976",5,38,2,7,7,2
"977",2,16,1,NA,NA,4
"978",3,50,1,5,7,2
"979",5,69,1,8,2,1
"980",3,22,2,4,4,2
"981",4,51,1,6,5,2
"982",5,37,1,5,8,3
"983",4,26,1,7,NA,2
"984",5,75,1,4,7,3
"985",5,53,1,3,8,4
"986",3,41,2,8,10,1
"987",5,52,2,5,3,1
"988",6,64,2,5,2,1
"989",5,42,2,6,3,2
"990",5,54,2,7,3,2
"991",5,46,2,3,7,3
"992",4,66,1,7,3,1
"993",5,27,2,7,6,2
"994",5,64,1,6,5,3
"995",5,61,2,9,7,3
"996",5,60,2,6,2,2
"997",5,33,1,6,10,1
"998",5,75,1,5,8,2
"999",5,42,1,9,NA,2
"1000",4,50,1,5,NA,5
"1001",4,40,1,6,7,3
"1002",3,36,2,9,7,4
"1003",4,39,1,3,NA,3
"1004",2,49,2,5,7,2
"1005",2,17,1,6,NA,2
"1006",5,58,2,4,7,2
"1007",2,60,1,4,7,3
"1008",5,38,1,4,10,2
"1009",6,41,2,6,4,1
"1010",5,49,2,7,3,2
"1011",5,72,1,5,7,2
"1012",5,38,1,4,3,2
"1013",3,58,2,6,3,2
"1014",4,26,2,4,3,2
"1015",5,17,2,NA,NA,NA
"1016",6,48,2,3,NA,5
"1017",5,NA,2,NA,NA,2
"1018",5,49,1,6,NA,2
"1019",4,32,1,5,3,1
"1020",4,31,1,8,7,4
"1021",3,33,2,5,2,3
"1022",6,30,1,6,7,2
"1023",5,81,2,3,3,1
"1024",4,53,2,6,3,4
"1025",2,22,2,5,NA,2
"1026",5,66,2,5,NA,1
"1027",5,72,1,8,6,2
"1028",3,40,1,4,7,2
"1029",5,66,2,5,6,1
"1030",2,39,2,7,3,2
"1031",5,73,2,7,3,2
"1032",5,63,2,8,NA,2
"1033",4,16,1,8,NA,2
"1034",5,42,2,5,2,2
"1035",5,25,1,5,6,3
"1036",3,35,2,6,4,3
"1037",1,43,1,10,3,NA
"1038",3,37,1,0,NA,2
"1039",5,57,1,4,3,2
"1040",4,47,1,7,3,2
"1041",5,62,2,8,8,1
"1042",4,37,2,7,3,3
"1043",6,58,2,5,2,1
"1044",3,22,1,5,7,3
"1045",6,48,1,7,7,2
"1046",5,21,2,6,2,1
"1047",5,31,2,5,3,1
"1048",5,58,2,4,3,2
"1049",5,50,1,7,3,2
"1050",NA,53,1,7,3,4
"1051",5,69,1,4,3,1
"1052",5,22,2,7,3,3
"1053",5,58,2,0,3,1
"1054",5,59,1,2,5,2
"1055",4,40,1,6,4,1
"1056",5,15,2,6,NA,2
"1057",5,81,1,4,3,2
"1058",4,19,1,4,NA,3
"1059",4,37,1,6,7,3
"1060",4,29,2,7,NA,2
"1061",6,75,1,5,3,2
"1062",5,35,1,5,4,1
"1063",5,38,2,7,2,1
"1064",3,27,1,2,NA,2
"1065",1,21,1,3,7,4
"1066",6,NA,1,0,6,1
"1067",6,59,2,7,7,3
"1068",5,53,2,8,3,3
"1069",5,64,1,6,5,3
"1070",5,45,1,4,3,2
"1071",4,30,1,1,10,1
"1072",5,44,2,7,3,1
"1073",4,28,2,4,10,3
"1074",5,61,2,7,5,2
"1075",1,20,1,10,3,2
"1076",4,51,1,7,2,1
"1077",5,51,2,5,7,3
"1078",5,73,1,5,3,1
"1079",4,63,2,8,11,1
"1080",5,75,1,6,NA,3
"1081",4,29,2,5,4,2
"1082",5,75,1,3,6,NA
"1083",5,57,2,6,3,2
"1084",5,30,2,4,8,1
"1085",5,52,2,7,NA,3
"1086",2,38,1,8,7,4
"1087",4,17,1,7,NA,2
"1088",3,46,2,8,NA,2
"1089",5,60,2,7,6,3
"1090",5,70,2,5,5,2
"1091",5,48,2,6,5,3
"1092",5,62,1,4,3,2
"1093",5,36,1,0,8,4
"1094",1,23,1,4,7,2
"1095",6,62,2,9,7,2
"1096",6,63,2,9,8,3
"1097",5,53,1,5,6,2
"1098",6,69,1,6,7,4
"1099",4,56,1,6,7,3
"1100",4,NA,1,5,8,2
"1101",5,51,2,8,1,3
"1102",3,40,1,4,4,2
"1103",4,63,1,8,3,2
"1104",4,48,1,4,5,2
"1105",5,55,2,5,7,1
"1106",6,77,2,8,2,1
"1107",5,35,2,6,10,2
"1108",5,26,1,2,7,3
"1109",4,18,2,5,NA,3
"1110",3,17,2,6,NA,3
"1111",5,70,1,8,8,2
"1112",5,46,1,7,1,1
"1113",3,40,2,6,4,2
"1114",5,48,2,7,3,2
"1115",3,20,2,3,3,4
"1116",5,64,1,5,7,3
"1117",6,60,1,3,6,1
"1118",5,32,2,5,3,2
"1119",5,36,1,3,7,1
"1120",5,44,1,7,7,2
"1121",4,31,2,9,NA,3
"1122",5,54,1,5,6,2
"1123",4,36,1,5,3,1
"1124",5,40,2,6,3,2
"1125",5,56,1,6,7,2
"1126",3,64,1,4,NA,1
"1127",5,58,2,8,3,1
"1128",5,66,1,6,7,2
"1129",5,53,1,3,10,1
"1130",3,56,1,7,7,2
"1131",1,38,1,6,NA,1
"1132",3,50,1,5,7,3
"1133",5,25,2,5,8,2
"1134",5,43,1,3,7,2
"1135",5,34,2,3,6,2
"1136",5,50,1,6,4,4
"1137",5,47,1,5,8,5
"1138",5,75,1,6,2,1
"1139",5,19,2,6,NA,3
"1140",6,58,1,6,8,2
"1141",2,45,1,3,NA,3
"1142",4,26,1,5,11,2
"1143",5,56,2,2,10,1
"1144",5,66,2,0,3,2
"1145",5,36,1,NA,NA,2
"1146",5,57,2,5,5,2
"1147",5,65,1,4,7,2
"1148",6,46,2,5,1,1
"1149",4,28,1,5,8,4
"1150",5,28,2,6,2,1
"1151",5,52,1,0,8,2
"1152",5,73,1,4,3,1
"1153",5,45,1,5,5,4
"1154",6,54,1,5,7,4
"1155",5,44,1,7,3,1
"1156",4,39,1,5,NA,2
"1157",5,70,2,6,6,2
"1158",3,19,1,8,NA,3
"1159",4,47,1,7,7,4
"1160",4,25,1,6,3,2
"1161",5,67,2,5,NA,1
"1162",4,20,1,6,3,4
"1163",5,NA,1,7,NA,1
"1164",3,29,1,6,7,4
"1165",4,29,2,5,10,2
"1166",5,59,1,6,3,2
"1167",5,24,1,6,1,2
"1168",5,66,2,5,NA,3
"1169",5,60,2,3,NA,2
"1170",3,38,1,6,7,4
"1171",6,66,2,8,7,3
"1172",3,50,2,6,5,1
"1173",3,35,2,6,4,2
"1174",4,60,2,3,2,1
"1175",5,54,1,6,NA,1
"1176",5,60,2,8,NA,5
"1177",6,58,1,5,8,3
"1178",6,49,1,7,1,1
"1179",5,17,2,3,NA,3
"1180",4,32,2,0,3,1
"1181",5,53,2,5,7,2
"1182",5,69,1,5,7,3
"1183",5,39,2,5,7,2
"1184",3,25,2,6,10,3
"1185",3,23,1,6,NA,4
"1186",2,56,2,7,7,3
"1187",3,29,1,6,8,2
"1188",5,63,2,3,2,2
"1189",2,30,2,2,NA,4
"1190",3,17,2,7,NA,3
"1191",2,45,1,9,NA,4
"1192",5,69,2,5,6,2
"1193",5,49,2,0,1,1
"1194",5,77,1,8,NA,2
"1195",5,45,2,6,5,2
"1196",5,51,2,6,7,1
"1197",1,22,1,2,7,4
"1198",3,19,2,6,NA,2
"1199",5,29,2,4,2,1
"1200",5,61,1,2,NA,2
"1201",5,67,2,8,3,1
"1202",5,29,2,5,10,2
"1203",6,75,2,1,3,1
"1204",4,46,1,5,7,4
"1205",3,16,2,7,NA,2
"1206",4,77,2,7,7,2
"1207",5,70,1,5,7,2
"1208",5,39,2,6,2,1
"1209",4,26,1,5,7,2
"1210",4,87,1,9,7,2
"1211",6,77,1,3,3,1
"1212",6,32,2,5,NA,3
"1213",3,16,1,5,NA,3
"1214",5,49,2,6,6,1
"1215",5,51,1,6,3,2
"1216",5,63,2,5,3,2
"1217",5,22,1,5,NA,4
"1218",5,67,1,6,3,2
"1219",4,74,2,5,NA,1
"1220",5,23,1,4,5,3
"1221",5,68,1,7,2,2
"1222",5,27,1,2,6,1
"1223",4,43,1,7,3,2
"1224",3,35,2,6,NA,2
"1225",5,55,2,6,7,2
"1226",5,45,2,8,7,3
"1227",3,75,2,6,7,2
"1228",2,21,1,8,3,2
"1229",5,43,1,5,6,2
"1230",5,22,1,4,NA,4
"1231",5,73,1,6,3,1
"1232",5,49,2,6,3,2
"1233",5,78,2,5,NA,3
"1234",6,66,1,3,7,2
"1235",5,74,1,2,NA,3
"1236",5,37,1,8,NA,2
"1237",2,72,2,5,10,4
"1238",4,26,1,2,NA,4
"1239",5,64,1,6,3,2
"1240",5,71,2,7,2,1
"1241",6,63,2,3,2,1
"1242",2,34,1,4,3,1
"1243",5,71,1,7,4,2
"1244",5,35,2,2,3,1
"1245",5,55,1,2,5,1
"1246",4,57,2,6,7,2
"1247",5,62,1,7,3,2
"1248",6,73,1,8,3,4
"1249",5,43,1,5,NA,1
"1250",5,64,1,7,3,2
"1251",5,NA,2,5,NA,3
"1252",3,40,1,5,NA,3
"1253",5,48,2,4,2,4
"1254",5,22,2,5,3,3
"1255",5,50,2,4,3,4
"1256",6,82,1,9,3,2
"1257",5,47,2,6,7,1
"1258",5,65,2,7,7,2
"1259",3,55,1,7,7,3
"1260",5,59,2,3,6,1
"1261",5,55,2,6,3,2
"1262",3,22,1,7,3,2
"1263",3,16,2,7,NA,3
"1264",4,28,2,7,7,2
"1265",6,65,1,4,3,2
"1266",6,67,1,7,3,1
"1267",5,55,1,5,4,4
"1268",5,69,1,7,NA,4
"1269",5,43,1,2,3,1
"1270",5,79,1,5,7,2
"1271",5,69,1,4,6,1
"1272",4,58,1,0,7,3
"1273",5,40,2,6,7,4
"1274",3,36,2,5,8,3
"1275",5,60,1,1,8,2
"1276",4,33,2,8,6,1
"1277",5,75,2,6,7,4
"1278",3,22,2,6,NA,3
"1279",5,51,2,3,3,2
"1280",4,34,1,7,7,3
"1281",5,53,2,4,7,3
"1282",5,54,2,7,7,3
"1283",5,46,1,5,3,4
"1284",3,NA,1,5,7,4
"1285",5,26,1,3,6,3
"1286",5,63,1,2,7,4
"1287",5,56,2,3,NA,3
"1288",6,35,2,3,7,2
"1289",4,33,2,3,7,1
"1290",2,27,2,7,7,3
"1291",2,17,1,5,NA,3
"1292",5,40,2,5,3,1
"1293",4,32,2,4,3,2
"1294",5,NA,2,3,2,1
"1295",6,NA,1,NA,NA,NA
"1296",6,27,1,1,NA,3
"1297",6,39,2,3,1,1
"1298",5,NA,1,7,11,2
"1299",5,30,2,5,2,2
"1300",5,38,1,9,2,1
"1301",4,62,2,4,3,2
"1302",5,28,2,4,3,2
"1303",6,61,2,8,3,3
"1304",3,34,2,5,8,3
"1305",4,49,1,6,7,2
"1306",5,39,1,3,4,2
"1307",5,24,1,5,NA,2
"1308",5,47,2,5,3,1
"1309",5,76,1,6,3,1
"1310",6,57,1,5,NA,1
"1311",5,33,1,3,4,3
"1312",5,22,2,6,2,3
"1313",4,58,1,7,7,3
"1314",5,75,1,7,3,2
"1315",6,32,1,4,NA,3
"1316",4,74,1,6,7,3
"1317",5,NA,1,7,3,3
"1318",5,52,1,6,3,2
"1319",4,52,1,4,7,4
"1320",5,26,2,5,5,1
"1321",5,35,2,6,3,2
"1322",5,46,1,6,6,2
"1323",5,64,1,5,7,3
"1324",5,30,1,5,10,2
"1325",4,59,1,8,7,4
"1326",4,54,1,2,8,4
"1327",6,57,2,5,7,1
"1328",5,59,1,2,3,1
"1329",5,18,2,5,NA,2
"1330",5,48,1,6,7,4
"1331",5,58,1,8,3,2
"1332",6,73,2,6,5,2
"1333",5,74,2,3,7,1
"1334",5,33,2,5,7,3
"1335",6,33,2,3,10,1
"1336",5,40,2,5,NA,2
"1337",5,78,2,7,3,2
"1338",5,41,2,7,8,2
"1339",5,60,2,5,7,1
"1340",5,30,1,5,8,2
"1341",5,50,1,5,NA,2
"1342",5,27,2,8,7,1
"1343",4,33,1,8,3,2
"1344",6,71,1,5,6,2
"1345",4,23,2,7,4,2
"1346",2,68,1,3,3,1
"1347",3,21,2,6,4,2
"1348",5,34,1,3,2,2
"1349",5,68,2,8,3,1
"1350",5,77,2,4,2,3
"1351",5,72,1,4,3,2
"1352",6,15,2,7,NA,2
"1353",5,45,1,6,8,2
"1354",4,87,1,7,7,2
"1355",5,49,2,6,5,3
"1356",3,33,1,7,NA,4
"1357",6,72,2,3,3,1
"1358",5,54,2,3,7,2
"1359",5,47,1,2,6,2
"1360",5,40,1,3,6,2
"1361",5,49,1,5,3,2
"1362",5,46,1,2,6,1
"1363",6,80,2,5,7,2
"1364",6,NA,1,5,1,5
"1365",5,47,2,6,NA,4
"1366",5,56,2,5,3,1
"1367",5,18,2,6,NA,1
"1368",4,45,1,6,7,2
"1369",6,69,2,3,7,1
"1370",3,53,1,6,8,3
"1371",4,72,2,4,3,1
"1372",5,49,2,7,3,1
"1373",5,74,1,5,2,2
"1374",4,43,2,7,3,2
"1375",3,70,2,5,3,1
"1376",5,76,2,6,7,3
"1377",5,26,2,5,7,3
"1378",6,80,2,5,3,1
"1379",5,47,2,4,8,1
"1380",4,49,1,7,7,2
"1381",4,39,1,2,1,1
"1382",5,73,1,7,7,2
"1383",5,64,2,5,3,3
"1384",5,43,1,6,2,1
"1385",4,75,1,6,7,2
"1386",4,55,1,4,7,4
"1387",4,46,1,6,7,2
"1388",4,29,1,7,NA,1
"1389",6,51,2,6,3,1
"1390",5,77,1,7,3,1
"1391",5,78,1,4,3,1
"1392",5,26,1,2,11,4
"1393",4,48,1,6,7,2
"1394",5,27,1,7,3,2
"1395",2,24,2,6,7,2
"1396",2,24,2,5,3,2
"1397",3,54,1,7,NA,1
"1398",5,51,1,6,3,1
"1399",3,18,1,7,NA,3
"1400",5,60,2,6,3,1
"1401",5,64,1,2,6,2
"1402",4,16,2,9,NA,2
"1403",4,24,2,3,10,1
"1404",3,35,1,6,3,3
"1405",3,45,2,8,NA,2
"1406",5,30,2,5,5,2
